DateTime,Users,In-Game
9/8/2019 0:00,16436372,4829841
9/9/2019 0:00,14276248,3907668
9/10/2019 0:00,14127637,3862137
9/11/2019 0:00,14184593,3845257
9/12/2019 0:00,14169294,4013979
9/13/2019 0:00,14266945,4153988
9/14/2019 0:00,15746972,4665079
9/15/2019 0:00,16217090,4742133
9/16/2019 0:00,13982082,3804451
9/17/2019 0:00,13777036,3794881
9/18/2019 0:00,13942365,3809181
9/19/2019 0:00,13892205,3787700
9/20/2019 0:00,14559736,4228142
9/21/2019 0:00,16197610,4815441
9/22/2019 0:00,16475314,4747224
9/23/2019 0:00,14026320,3795868
9/24/2019 0:00,13974943,3786183
9/25/2019 0:00,13862848,3745847
9/26/2019 0:00,13939438,3762897
9/27/2019 0:00,14549373,4135874
9/28/2019 0:00,16050082,4661433
9/29/2019 0:00,16543926,4832909
9/30/2019 0:00,14438222,3937633
10/1/2019 0:00,14279343,3817856
10/2/2019 0:00,14443649,3960694
10/3/2019 0:00,14349236,4039549
10/4/2019 0:00,14622487,4223854
10/5/2019 0:00,16092849,4857896
10/6/2019 0:00,16828846,5065579
10/7/2019 0:00,14046486,3851261
10/8/2019 0:00,14114969,3867172
10/9/2019 0:00,14186944,3908823
10/10/2019 0:00,13872900,3817488
10/11/2019 0:00,14479165,4161006
10/12/2019 0:00,16284096,4950281
10/13/2019 0:00,16500474,4881470
10/14/2019 0:00,14356751,3936842
10/15/2019 0:00,13983794,3660916
10/16/2019 0:00,13961716,3686587
10/17/2019 0:00,13823282,3707809
10/18/2019 0:00,14660918,4120634
10/19/2019 0:00,16350886,4798173
10/20/2019 0:00,16584078,4779901
10/21/2019 0:00,14168384,3811567
10/22/2019 0:00,14083985,3745705
10/23/2019 0:00,14266386,3838980
10/24/2019 0:00,14181248,3815291
10/25/2019 0:00,14898643,4179943
10/26/2019 0:00,16240785,4685074
10/27/2019 0:00,16372895,4630528
10/28/2019 0:00,14360403,3904506
10/29/2019 0:00,14241108,3706900
10/30/2019 0:00,14144052,3774584
10/31/2019 0:00,14191772,3892561
11/1/2019 0:00,15220148,4468865
11/2/2019 0:00,16498502,4877840
11/3/2019 0:00,16571017,4813322
11/4/2019 0:00,14071585,3979202
11/5/2019 0:00,13713278,3775487
11/6/2019 0:00,13753283,3730948
11/7/2019 0:00,13470414,3704207
11/8/2019 0:00,14314924,4211432
11/9/2019 0:00,16367266,5035035
11/10/2019 0:00,16474830,4563534
11/11/2019 0:00,14292825,3999435
11/12/2019 0:00,13711497,3796421
11/13/2019 0:00,13765837,3718036
11/14/2019 0:00,13558993,3668965
11/15/2019 0:00,14301433,4151676
11/16/2019 0:00,16185850,4882973
11/17/2019 0:00,16402824,4815992
11/18/2019 0:00,13714821,3817445
11/19/2019 0:00,13734375,3769762
11/20/2019 0:00,13960816,3790852
11/21/2019 0:00,13764649,3762368
11/22/2019 0:00,14428853,4084078
11/23/2019 0:00,16439220,5034054
11/24/2019 0:00,16569597,4897152
11/25/2019 0:00,13864550,3849246
11/26/2019 0:00,13801819,3747496
11/27/2019 0:00,14389346,4023032
11/28/2019 0:00,14438760,4047470
11/29/2019 0:00,15281879,4546497
11/30/2019 0:00,16974394,5252907
12/1/2019 0:00,17155417,5209955
12/2/2019 0:00,14527289,4089236
12/3/2019 0:00,14512255,4025364
12/4/2019 0:00,14520091,4091303
12/5/2019 0:00,14429683,4042126
12/6/2019 0:00,15153917,4573164
12/7/2019 0:00,16913469,5253194
12/8/2019 0:00,17125075,5152451
12/9/2019 0:00,14333935,4005103
12/10/2019 0:00,14332505,3925699
12/11/2019 0:00,14462142,4069336
12/12/2019 0:00,14157477,3913620
12/13/2019 0:00,15009438,4414083
12/14/2019 0:00,16971105,5224126
12/15/2019 0:00,17062715,5163103
12/16/2019 0:00,14512162,4043452
12/17/2019 0:00,14186186,3996723
12/18/2019 0:00,14511313,4113699
12/19/2019 0:00,14544525,4140549
12/20/2019 0:00,16018493,4904190
12/21/2019 0:00,17321493,5302348
12/22/2019 0:00,17490117,5395060
12/23/2019 0:00,16456480,4911175
12/24/2019 0:00,16152721,4865991
12/25/2019 0:00,15796538,4804296
12/26/2019 0:00,16320978,5053623
12/27/2019 0:00,17015702,5354137
12/28/2019 0:00,17577366,5666621
12/29/2019 0:00,17600742,5641295
12/30/2019 0:00,16776059,5213571
12/31/2019 0:00,17013516,5189395
1/1/2020 0:00,16861928,5203703
1/2/2020 0:00,17065226,5184720
1/3/2020 0:00,17324237,5448528
1/4/2020 0:00,17955645,5729658
